lst,predicted2p,predicted3p
30.07621397,29.7114528,29.73951672
30.36645528,30.04666573,30.17003819
30.59229602,30.09635284,30.52775643
31.08850408,30.11350015,30.8941116
30.22690588,30.23316619,30.30889792
30.9049882,30.28101111,30.82092102
30.26931729,30.29729914,30.38639178
31.51823407,30.3668137,31.61805233
31.144399,30.47703062,31.02474472
30.95979027,30.62997432,31.05050689
32.10409396,30.64230165,31.85996445
30.49224063,30.66465953,30.65387476
30.3588282,30.6665321,30.47173284
30.51630072,30.78055734,30.77228574
31.9927018,30.91695527,31.81615494
29.93818383,31.02678336,29.9571126
31.42332512,31.04275975,30.97817165
31.60022672,31.06974023,31.29730263
33.29100868,32.67977887,32.52239977
31.1050367,31.40387087,30.65750396
31.57266395,31.56440497,31.63901624
30.12145204,29.32899434,30.06194226
29.487197,29.38758655,29.8028881
29.56921989,29.47704301,29.81356441
29.43614637,29.51130056,29.78930004
29.44893416,29.53405142,29.79916717
29.59661182,29.53628371,29.89789945
30.80997998,29.54227166,30.75654734
29.54208513,29.55675236,29.87048393
29.66804146,29.55711849,29.96054539
31.08612818,29.56857405,31.03501567
29.74622594,29.57879392,30.02457376
30.92467142,29.59164574,30.5197776
29.47263676,29.60961356,29.82410148
30.04241329,29.61437958,30.27585244
31.61524955,29.63349508,31.43637343
29.50754634,29.63548883,29.86625873
30.69902693,29.66299986,30.78654345
30.23187902,29.66800139,30.43378701
29.6351873,29.67825214,29.98708986
31.12415654,29.67852978,31.08883112
30.7154506,29.68045558,30.7814027
29.65618256,29.68136135,29.98315036
29.49326224,29.68606609,29.85227707
30.28247998,29.69026483,30.48359608
29.60774414,29.69105914,29.93585606
31.39441279,29.69798376,31.30096626
29.66208336,29.70417148,29.98182088
30.66594421,29.71704319,30.77036715
29.73685055,29.71818059,30.06257464
29.69959989,29.72041965,30.0163453
29.89847156,29.72082879,30.19351841
30.66900066,29.72326346,30.779601
31.45448894,29.73925544,31.35101126
30.62717527,29.74092151,30.74880357
30.73368736,29.74750158,30.82771371
30.66289147,29.7596964,30.77463299
29.84307833,29.76102683,30.11739466
30.79907975,29.76119451,30.87558623
30.73901049,29.76841941,30.83180132
30.708983,29.77498447,30.82860297
30.90726478,29.77829628,30.97984534
31.5895972,29.79279918,31.46896138
30.39334821,29.80073801,30.59387298
29.63388444,29.80513179,30.01725545
30.45865714,29.80694071,30.64337254
30.0945414,29.80710792,30.35748601
29.9194494,29.8088355,30.22041613
30.15004576,29.80924266,30.38504172
29.81188667,29.81081172,30.13734432
34.20556983,29.81278832,33.644941
30.61980947,29.81343834,30.77233252
30.53603478,29.8204268,30.69886231
30.57038155,29.82160219,30.72828242
30.72283899,29.82290802,30.83035602
32.93912081,29.82396741,32.86818163
30.92196341,29.82675411,31.01874222
30.01888808,29.82771405,30.28389102
29.54349812,29.83064808,29.93661437
30.13562065,29.83243529,30.36630329
29.63753111,29.8569809,30.00436108
30.83735759,29.863709,30.9342104
30.73870942,29.86452087,30.86540567
30.83575401,29.8646948,30.94480872
29.926179,29.86689857,30.23584886
30.80918706,29.86912876,30.90149551
30.76755026,29.87240467,30.87990747
30.0735233,29.87473993,30.31194882
31.23147316,29.87667109,31.22796657
30.429329,29.88465223,30.64155422
30.56667416,29.89292512,30.74528466
29.96212475,29.894093,30.24594072
30.75322949,29.90008764,30.83602813
30.93450531,29.9009333,31.03034989
31.90613341,29.90271249,31.74297422
30.67472961,29.90298327,30.81498522
30.95890613,29.90366127,31.05129332
29.98001066,29.90743515,30.26799045
31.20085219,29.91013863,31.22523592
30.64306858,29.91105314,30.78928704
30.04287628,29.91108865,30.31881303
